CounterType,Threads,TicketsPerThread,ExecutionTimeNs,FinalValue
NO_THREAD_SAFE,12,10,1803500,119
SYNCHRONIZED,12,10,625083,120
ATOMIC,12,10,795667,120
NO_THREAD_SAFE,12,100,2265417,1192
SYNCHRONIZED,12,100,487666,1200
ATOMIC,12,100,472750,1200
NO_THREAD_SAFE,12,1000,860334,11526
SYNCHRONIZED,12,1000,1382916,12000
ATOMIC,12,1000,643583,12000
NO_THREAD_SAFE,12,10000,1865417,41160
SYNCHRONIZED,12,10000,5913541,120000
ATOMIC,12,10000,2692667,120000
NO_THREAD_SAFE,12,1000000,25948208,1815915
SYNCHRONIZED,12,1000000,461474458,12000000
ATOMIC,12,1000000,393989417,12000000
