CounterType,Threads,TicketsPerThread,ExecutionTimeNs,FinalValue
NO_THREAD_SAFE,8,10,420209,80
SYNCHRONIZED,8,10,322209,80
ATOMIC,8,10,266291,80
NO_THREAD_SAFE,8,100,323666,800
SYNCHRONIZED,8,100,307583,800
ATOMIC,8,100,281875,800
NO_THREAD_SAFE,8,1000,270750,8000
SYNCHRONIZED,8,1000,249459,8000
ATOMIC,8,1000,209167,8000
NO_THREAD_SAFE,8,10000,233834,79995
SYNCHRONIZED,8,10000,2918459,80000
ATOMIC,8,10000,853667,80000
NO_THREAD_SAFE,8,1000000,18089250,1145964
SYNCHRONIZED,8,1000000,291499167,8000000
ATOMIC,8,1000000,350526875,8000000
