CounterType,Threads,TicketsPerThread,ExecutionTimeNs,FinalValue
NO_THREAD_SAFE,12,10,509417,120
SYNCHRONIZED,12,10,413250,120
ATOMIC,12,10,431750,120
NO_THREAD_SAFE,12,100,438292,1200
SYNCHRONIZED,12,100,454916,1200
ATOMIC,12,100,389208,1200
NO_THREAD_SAFE,12,1000,403959,12000
SYNCHRONIZED,12,1000,403625,12000
ATOMIC,12,1000,368292,12000
NO_THREAD_SAFE,12,10000,370458,120000
SYNCHRONIZED,12,10000,4693958,120000
ATOMIC,12,10000,4338042,120000
NO_THREAD_SAFE,12,1000000,25355792,1376208
SYNCHRONIZED,12,1000000,476234292,12000000
ATOMIC,12,1000000,373164792,12000000
