CounterType,Threads,TicketsPerThread,ExecutionTimeNs,FinalValue
NO_THREAD_SAFE,8,10,368916,80
SYNCHRONIZED,8,10,306583,80
ATOMIC,8,10,295167,80
NO_THREAD_SAFE,8,100,343417,800
SYNCHRONIZED,8,100,330667,800
ATOMIC,8,100,264333,800
NO_THREAD_SAFE,8,1000,219709,8000
SYNCHRONIZED,8,1000,220542,8000
ATOMIC,8,1000,252750,8000
NO_THREAD_SAFE,8,10000,229125,77498
SYNCHRONIZED,8,10000,3033208,80000
ATOMIC,8,10000,2076375,80000
NO_THREAD_SAFE,8,1000000,17216416,1189732
SYNCHRONIZED,8,1000000,297726583,8000000
ATOMIC,8,1000000,342966125,8000000
